mode: set
graph/entity/task.go:16.36,17.14 1 1
graph/entity/task.go:18.51,19.20 1 1
graph/entity/task.go:21.5,21.17 1 1
graph/delivery/httpserver/taskhandler/add_task.go:19.42,23.16 3 1
graph/delivery/httpserver/taskhandler/add_task.go:23.16,28.3 2 1
graph/delivery/httpserver/taskhandler/add_task.go:30.2,31.16 2 1
graph/delivery/httpserver/taskhandler/add_task.go:31.16,36.3 2 1
graph/delivery/httpserver/taskhandler/add_task.go:38.2,40.4 1 1
graph/delivery/httpserver/taskhandler/delete_task.go:19.45,24.16 4 1
graph/delivery/httpserver/taskhandler/delete_task.go:24.16,29.3 2 1
graph/delivery/httpserver/taskhandler/delete_task.go:31.2,34.16 3 1
graph/delivery/httpserver/taskhandler/delete_task.go:34.16,39.3 2 1
graph/delivery/httpserver/taskhandler/delete_task.go:41.2,41.39 1 1
graph/delivery/httpserver/taskhandler/get_task.go:19.45,22.16 3 1
graph/delivery/httpserver/taskhandler/get_task.go:22.16,27.3 2 1
graph/delivery/httpserver/taskhandler/get_task.go:28.2,31.16 3 1
graph/delivery/httpserver/taskhandler/get_task.go:31.16,36.3 2 1
graph/delivery/httpserver/taskhandler/get_task.go:38.2,40.4 1 1
graph/delivery/httpserver/taskhandler/get_task.go:53.43,65.16 5 1
graph/delivery/httpserver/taskhandler/get_task.go:65.16,68.3 2 1
graph/delivery/httpserver/taskhandler/get_task.go:70.2,70.47 1 1
graph/delivery/httpserver/taskhandler/handler.go:9.43,11.2 1 1
graph/delivery/httpserver/taskhandler/route.go:10.43,21.2 7 0
graph/delivery/httpserver/taskhandler/update_task.go:21.45,24.16 3 1
graph/delivery/httpserver/taskhandler/update_task.go:24.16,29.3 2 1
graph/delivery/httpserver/taskhandler/update_task.go:31.2,33.16 3 1
graph/delivery/httpserver/taskhandler/update_task.go:33.16,38.3 2 1
graph/delivery/httpserver/taskhandler/update_task.go:39.2,42.15 3 1
graph/delivery/httpserver/taskhandler/update_task.go:42.15,47.3 2 1
graph/delivery/httpserver/taskhandler/update_task.go:49.2,51.4 1 1
graph/main.go:22.13,33.16 4 0
graph/main.go:33.16,35.3 1 0
graph/main.go:36.2,39.16 3 0
graph/main.go:39.16,41.3 1 0
graph/main.go:42.2,53.98 4 0
graph/main.go:53.98,55.3 1 0
graph/main.go:57.2,59.16 2 0
graph/repository/psql/psqltask/add_task.go:9.82,15.16 4 1
graph/repository/psql/psqltask/add_task.go:15.16,17.3 1 0
graph/repository/psql/psqltask/add_task.go:19.2,21.18 2 1
graph/repository/psql/psqltask/db.go:9.33,11.2 1 1
graph/repository/psql/psqltask/delete_task.go:8.61,11.16 3 1
graph/repository/psql/psqltask/delete_task.go:11.16,13.3 1 0
graph/repository/psql/psqltask/delete_task.go:15.2,15.12 1 1
graph/repository/psql/psqltask/existence_of_task.go:9.72,15.16 5 1
graph/repository/psql/psqltask/existence_of_task.go:15.16,16.26 1 1
graph/repository/psql/psqltask/existence_of_task.go:16.26,18.4 1 0
graph/repository/psql/psqltask/existence_of_task.go:20.3,20.54 1 1
graph/repository/psql/psqltask/existence_of_task.go:23.2,23.18 1 1
graph/repository/psql/psqltask/get_task.go:10.77,15.16 4 1
graph/repository/psql/psqltask/get_task.go:15.16,17.3 1 1
graph/repository/psql/psqltask/get_task.go:18.2,18.18 1 1
graph/repository/psql/psqltask/get_task.go:21.99,32.16 6 1
graph/repository/psql/psqltask/get_task.go:32.16,34.3 1 0
graph/repository/psql/psqltask/get_task.go:36.2,42.16 3 1
graph/repository/psql/psqltask/get_task.go:42.16,44.3 1 0
graph/repository/psql/psqltask/get_task.go:45.2,47.18 2 1
graph/repository/psql/psqltask/get_task.go:47.18,52.3 3 1
graph/repository/psql/psqltask/get_task.go:54.2,54.26 1 1
graph/repository/psql/psqltask/update_task.go:10.85,17.16 4 1
graph/repository/psql/psqltask/update_task.go:17.16,19.3 1 0
graph/repository/psql/psqltask/update_task.go:21.2,23.18 2 1
graph/delivery/httpserver/middleware/metrics.go:12.32,13.30 1 1
graph/delivery/httpserver/middleware/metrics.go:13.30,19.17 4 1
graph/delivery/httpserver/middleware/metrics.go:19.17,21.4 1 1
graph/delivery/httpserver/middleware/metrics.go:23.3,32.41 2 1
graph/delivery/httpserver/health-check.go:9.44,13.2 1 1
graph/delivery/httpserver/server.go:19.42,24.2 1 1
graph/delivery/httpserver/server.go:26.25,35.39 6 0
graph/delivery/httpserver/server.go:35.39,38.3 1 0
graph/delivery/httpserver/tracing.go:13.75,15.16 2 1
graph/delivery/httpserver/tracing.go:15.16,17.3 1 0
graph/delivery/httpserver/tracing.go:19.2,24.16 2 1
graph/delivery/httpserver/tracing.go:24.16,26.3 1 0
graph/delivery/httpserver/tracing.go:28.2,35.25 3 1
graph/repository/psql/db.go:22.70,33.19 3 0
graph/repository/psql/db.go:33.19,35.6 1 0
graph/repository/psql/db.go:37.5,41.19 4 0
graph/repository/psql/db.go:41.19,43.6 1 0
graph/repository/psql/db.go:45.5,45.40 1 0
graph/repository/psql/db.go:45.40,48.6 2 0
graph/repository/psql/db.go:50.5,52.11 1 0
